Data,Casos,id,Municipio,Estado
2011-11-06,20,"3300100",ANGRA DOS REIS,RJ
2011-11-13,25,"3300100",ANGRA DOS REIS,RJ
2011-11-20,20,"3300100",ANGRA DOS REIS,RJ
2011-11-27,9,"3300100",ANGRA DOS REIS,RJ
2011-12-04,7,"3300100",ANGRA DOS REIS,RJ
2011-12-11,28,"3300100",ANGRA DOS REIS,RJ
2011-12-18,27,"3300100",ANGRA DOS REIS,RJ
2011-12-25,10,"3300100",ANGRA DOS REIS,RJ
2012-01-01,15,"3300100",ANGRA DOS REIS,RJ
2012-01-08,41,"3300100",ANGRA DOS REIS,RJ
2012-01-15,10,"3300100",ANGRA DOS REIS,RJ
2012-01-22,33,"3300100",ANGRA DOS REIS,RJ
2012-01-29,37,"3300100",ANGRA DOS REIS,RJ
2012-02-05,33,"3300100",ANGRA DOS REIS,RJ
2012-02-12,44,"3300100",ANGRA DOS REIS,RJ
2012-02-19,25,"3300100",ANGRA DOS REIS,RJ
2012-02-26,47,"3300100",ANGRA DOS REIS,RJ
2012-03-11,36,"3300100",ANGRA DOS REIS,RJ
2012-03-18,42,"3300100",ANGRA DOS REIS,RJ
2012-03-25,49,"3300100",ANGRA DOS REIS,RJ
2012-04-01,45,"3300100",ANGRA DOS REIS,RJ
2012-04-08,64,"3300100",ANGRA DOS REIS,RJ
2012-04-15,58,"3300100",ANGRA DOS REIS,RJ
2012-04-22,49,"3300100",ANGRA DOS REIS,RJ
2012-04-29,90,"3300100",ANGRA DOS REIS,RJ
2012-05-06,116,"3300100",ANGRA DOS REIS,RJ
2012-05-13,60,"3300100",ANGRA DOS REIS,RJ
2012-05-20,39,"3300100",ANGRA DOS REIS,RJ
2012-05-27,47,"3300100",ANGRA DOS REIS,RJ
2012-06-10,62,"3300100",ANGRA DOS REIS,RJ
2012-06-17,62,"3300100",ANGRA DOS REIS,RJ
2012-06-24,45,"3300100",ANGRA DOS REIS,RJ
2012-07-01,48,"3300100",ANGRA DOS REIS,RJ
2012-07-08,25,"3300100",ANGRA DOS REIS,RJ
2012-07-15,12,"3300100",ANGRA DOS REIS,RJ
2012-07-22,16,"3300100",ANGRA DOS REIS,RJ
2012-07-29,5,"3300100",ANGRA DOS REIS,RJ
2012-08-05,12,"3300100",ANGRA DOS REIS,RJ
2012-08-12,3,"3300100",ANGRA DOS REIS,RJ
2012-08-19,17,"3300100",ANGRA DOS REIS,RJ
2012-08-26,4,"3300100",ANGRA DOS REIS,RJ
2012-09-02,3,"3300100",ANGRA DOS REIS,RJ
2012-09-09,4,"3300100",ANGRA DOS REIS,RJ
2012-09-16,8,"3300100",ANGRA DOS REIS,RJ
2012-09-23,8,"3300100",ANGRA DOS REIS,RJ
2012-09-30,6,"3300100",ANGRA DOS REIS,RJ
2012-10-07,1,"3300100",ANGRA DOS REIS,RJ
2012-10-14,1,"3300100",ANGRA DOS REIS,RJ
2012-10-21,6,"3300100",ANGRA DOS REIS,RJ
2012-10-28,10,"3300100",ANGRA DOS REIS,RJ
2012-11-04,10,"3300100",ANGRA DOS REIS,RJ
2012-11-11,2,"3300100",ANGRA DOS REIS,RJ
2012-11-18,2,"3300100",ANGRA DOS REIS,RJ
2012-11-25,1,"3300100",ANGRA DOS REIS,RJ
2012-12-02,3,"3300100",ANGRA DOS REIS,RJ
2012-12-09,8,"3300100",ANGRA DOS REIS,RJ
2012-12-16,6,"3300100",ANGRA DOS REIS,RJ
2012-12-30,26,"3300100",ANGRA DOS REIS,RJ
2013-01-06,40,"3300100",ANGRA DOS REIS,RJ
2013-01-13,58,"3300100",ANGRA DOS REIS,RJ
2013-01-20,80,"3300100",ANGRA DOS REIS,RJ
2013-01-27,100,"3300100",ANGRA DOS REIS,RJ
2013-02-03,138,"3300100",ANGRA DOS REIS,RJ
2013-02-10,223,"3300100",ANGRA DOS REIS,RJ
2013-02-17,396,"3300100",ANGRA DOS REIS,RJ
2013-02-24,594,"3300100",ANGRA DOS REIS,RJ
2013-03-03,710,"3300100",ANGRA DOS REIS,RJ
2013-03-10,769,"3300100",ANGRA DOS REIS,RJ
2013-03-17,808,"3300100",ANGRA DOS REIS,RJ
2013-03-24,847,"3300100",ANGRA DOS REIS,RJ
2013-03-31,638,"3300100",ANGRA DOS REIS,RJ
2013-04-07,770,"3300100",ANGRA DOS REIS,RJ
2013-04-14,600,"3300100",ANGRA DOS REIS,RJ
2013-04-21,326,"3300100",ANGRA DOS REIS,RJ
2013-04-28,218,"3300100",ANGRA DOS REIS,RJ
2013-05-05,248,"3300100",ANGRA DOS REIS,RJ
2013-05-12,184,"3300100",ANGRA DOS REIS,RJ
2013-05-19,145,"3300100",ANGRA DOS REIS,RJ
2013-05-26,61,"3300100",ANGRA DOS REIS,RJ
2013-06-02,63,"3300100",ANGRA DOS REIS,RJ
2013-06-09,51,"3300100",ANGRA DOS REIS,RJ
2013-06-16,29,"3300100",ANGRA DOS REIS,RJ
2013-06-23,28,"3300100",ANGRA DOS REIS,RJ
2013-06-30,8,"3300100",ANGRA DOS REIS,RJ
2013-07-14,11,"3300100",ANGRA DOS REIS,RJ
2013-07-21,4,"3300100",ANGRA DOS REIS,RJ
2013-07-28,5,"3300100",ANGRA DOS REIS,RJ
2013-08-04,6,"3300100",ANGRA DOS REIS,RJ
2013-08-11,5,"3300100",ANGRA DOS REIS,RJ
2013-08-18,1,"3300100",ANGRA DOS REIS,RJ
2013-08-25,0,"3300100",ANGRA DOS REIS,RJ
2013-09-01,1,"3300100",ANGRA DOS REIS,RJ
2013-09-08,1,"3300100",ANGRA DOS REIS,RJ
2013-09-15,1,"3300100",ANGRA DOS REIS,RJ
2013-09-22,7,"3300100",ANGRA DOS REIS,RJ
2013-09-29,0,"3300100",ANGRA DOS REIS,RJ
2013-10-13,6,"3300100",ANGRA DOS REIS,RJ
2013-10-20,1,"3300100",ANGRA DOS REIS,RJ
2013-10-27,2,"3300100",ANGRA DOS REIS,RJ
2013-11-03,12,"3300100",ANGRA DOS REIS,RJ
2013-11-10,9,"3300100",ANGRA DOS REIS,RJ
2013-11-17,16,"3300100",ANGRA DOS REIS,RJ
2013-11-24,8,"3300100",ANGRA DOS REIS,RJ
2013-12-01,9,"3300100",ANGRA DOS REIS,RJ
2013-12-08,14,"3300100",ANGRA DOS REIS,RJ
2013-12-15,17,"3300100",ANGRA DOS REIS,RJ
2013-12-22,17,"3300100",ANGRA DOS REIS,RJ
2013-12-29,4,"3300100",ANGRA DOS REIS,RJ
